speed_mach,alt_ft,sensor_name,speed_mps,cost,endurance_hr,footprint_km2,area_sanitized_km2
0.5,20000.0,EO/IR Sensor 1,158.01872614682765,10.05,13.56765,2.5763692858822385,10000.0
0.5,20000.0,EO/IR Sensor 2,158.01872614682765,11.0,13.56765,10.672221071336253,10000.0
0.5,20000.0,EO/IR Sensor 3,158.01872614682765,20.0,13.56765,49.54828799999998,10000.0
0.5,25000.0,EO/IR Sensor 1,154.8374684672048,12.3,16.06765,4.025577009190998,10000.0
0.5,25000.0,EO/IR Sensor 2,154.8374684672048,13.25,16.06765,16.675345423962895,10000.0
0.5,25000.0,EO/IR Sensor 3,154.8374684672048,22.25,16.06765,77.41919999999996,10000.0
0.6000000000000001,5000.0,EO/IR Sensor 1,200.6396638571342,8.3,7.814079999999999,0.1610230803676399,2006.3840632319143
0.6000000000000001,5000.0,EO/IR Sensor 2,200.6396638571342,9.25,7.814079999999999,0.6670138169585158,4083.545692650313
0.6000000000000001,5000.0,EO/IR Sensor 3,200.6396638571342,18.25,7.814079999999999,3.0967679999999986,8622.84174040089
0.6000000000000001,10000.0,EO/IR Sensor 1,197.03572525155843,9.05,8.814079999999999,0.6440923214705596,4494.300301639489
0.6000000000000001,10000.0,EO/IR Sensor 2,197.03572525155843,10.0,8.814079999999999,2.668055267834063,9147.142351536697
0.6000000000000001,10000.0,EO/IR Sensor 3,197.03572525155843,19.0,8.814079999999999,12.387071999999995,10000.0
0.6000000000000001,15000.0,EO/IR Sensor 1,193.36462793931938,10.3,10.314079999999999,1.44920772330876,7824.897846604465
0.6000000000000001,15000.0,EO/IR Sensor 2,193.36462793931938,11.25,10.314079999999999,6.003124352626644,10000.0
0.6000000000000001,15000.0,EO/IR Sensor 3,193.36462793931938,20.25,10.314079999999999,27.870911999999997,10000.0
0.6000000000000001,20000.0,EO/IR Sensor 1,189.6224713761932,12.05,12.314079999999999,2.5763692858822385,10000.0
0.6000000000000001,20000.0,EO/IR Sensor 2,189.6224713761932,13.0,12.314079999999999,10.672221071336253,10000.0
0.6000000000000001,20000.0,EO/IR Sensor 3,189.6224713761932,22.0,12.314079999999999,49.54828799999998,10000.0
0.6000000000000001,25000.0,EO/IR Sensor 1,185.80496216064577,14.3,14.814079999999999,4.025577009190998,10000.0
0.6000000000000001,25000.0,EO/IR Sensor 2,185.80496216064577,15.25,14.814079999999999,16.675345423962895,10000.0
0.6000000000000001,25000.0,EO/IR Sensor 3,185.80496216064577,24.25,14.814079999999999,77.41919999999996,10000.0
0.7000000000000001,5000.0,EO/IR Sensor 1,234.07960783332322,11.3,6.185509999999998,0.1610230803676399,1805.7456569087226
0.7000000000000001,5000.0,EO/IR Sensor 2,234.07960783332322,12.25,6.185509999999998,0.6670138169585158,3675.191123385281
0.7000000000000001,5000.0,EO/IR Sensor 3,234.07960783332322,21.25,6.185509999999998,3.0967679999999986,7918.9362922048995
0.7000000000000001,10000.0,EO/IR Sensor 1,229.8750127934848,12.05,7.185509999999998,0.6440923214705596,4173.278851522382
0.7000000000000001,10000.0,EO/IR Sensor 2,229.8750127934848,13.0,7.185509999999998,2.668055267834063,8493.77504071265
0.7000000000000001,10000.0,EO/IR Sensor 3,229.8750127934848,22.0,7.185509999999998,12.387071999999995,10000.0
0.7000000000000001,15000.0,EO/IR Sensor 1,225.59206592920592,13.3,8.685509999999997,1.44920772330876,7584.1317590166345
0.7000000000000001,15000.0,EO/IR Sensor 2,225.59206592920592,14.25,8.685509999999997,6.003124352626644,10000.0
0.7000000000000001,15000.0,EO/IR Sensor 3,225.59206592920592,23.25,8.685509999999997,27.870911999999997,10000.0
0.7000000000000001,20000.0,EO/IR Sensor 1,221.22621660555873,15.05,10.685509999999997,2.5763692858822385,10000.0
0.7000000000000001,20000.0,EO/IR Sensor 2,221.22621660555873,16.0,10.685509999999997,10.672221071336253,10000.0
0.7000000000000001,20000.0,EO/IR Sensor 3,221.22621660555873,25.0,10.685509999999997,49.54828799999998,10000.0
0.7000000000000001,25000.0,EO/IR Sensor 1,216.77245585408673,17.3,13.185509999999997,4.025577009190998,10000.0
0.7000000000000001,25000.0,EO/IR Sensor 2,216.77245585408673,18.25,13.185509999999997,16.675345423962895,10000.0
0.7000000000000001,25000.0,EO/IR Sensor 3,216.77245585408673,27.25,13.185509999999997,77.41919999999996,10000.0
0.8,5000.0,EO/IR Sensor 1,267.5195518095122,15.300000000000008,4.181939999999998,0.1610230803676399,1324.2134817330625
0.8,5000.0,EO/IR Sensor 2,267.5195518095122,16.250000000000007,4.181939999999998,0.6670138169585158,2695.1401571492047
0.8,5000.0,EO/IR Sensor 3,267.5195518095122,25.250000000000007,4.181939999999998,3.0967679999999986,5631.243585567931
0.8,10000.0,EO/IR Sensor 1,262.7143003354112,16.050000000000008,5.181939999999998,0.6440923214705596,3290.4698637003385
0.8,10000.0,EO/IR Sensor 2,262.7143003354112,17.000000000000007,5.181939999999998,2.668055267834063,6697.014935946511
0.8,10000.0,EO/IR Sensor 3,262.7143003354112,26.000000000000007,5.181939999999998,12.387071999999995,10000.0
0.8,15000.0,EO/IR Sensor 1,257.8195039190925,17.300000000000008,6.681939999999998,1.44920772330876,6500.684364871399
0.8,15000.0,EO/IR Sensor 2,257.8195039190925,18.250000000000007,6.681939999999998,6.003124352626644,10000.0
0.8,15000.0,EO/IR Sensor 3,257.8195039190925,27.250000000000007,6.681939999999998,27.870911999999997,10000.0
0.8,20000.0,EO/IR Sensor 1,252.82996183492423,19.050000000000008,8.681939999999997,2.5763692858822385,10000.0
0.8,20000.0,EO/IR Sensor 2,252.82996183492423,20.000000000000007,8.681939999999997,10.672221071336253,10000.0
0.8,20000.0,EO/IR Sensor 3,252.82996183492423,29.000000000000007,8.681939999999997,49.54828799999998,10000.0
0.8,25000.0,EO/IR Sensor 1,247.73994954752766,21.300000000000008,11.181939999999997,4.025577009190998,10000.0
0.8,25000.0,EO/IR Sensor 2,247.73994954752766,22.250000000000007,11.181939999999997,16.675345423962895,10000.0
0.8,25000.0,EO/IR Sensor 3,247.73994954752766,31.250000000000007,11.181939999999997,77.41919999999996,10000.0
0.9,5000.0,EO/IR Sensor 1,300.9594957857013,20.3,1.8033699999999975,0.1610230803676399,481.5321751756588
0.9,5000.0,EO/IR Sensor 2,300.9594957857013,21.25,1.8033699999999975,0.6670138169585158,980.050966236074
0.9,5000.0,EO/IR Sensor 3,300.9594957857013,30.25,1.8033699999999975,3.0967679999999986,1935.739982538977
0.9,10000.0,EO/IR Sensor 1,295.5535878773376,21.05,2.8033699999999975,0.6440923214705596,1765.6179756440822
0.9,10000.0,EO/IR Sensor 2,295.5535878773376,22.0,2.8033699999999975,2.668055267834063,3593.520209532271
0.9,10000.0,EO/IR Sensor 3,295.5535878773376,31.0,2.8033699999999975,12.387071999999995,7391.007206057914
0.9,15000.0,EO/IR Sensor 1,290.046941908979,22.3,4.3033699999999975,1.44920772330876,4454.172620374844
0.9,15000.0,EO/IR Sensor 2,290.046941908979,23.25,4.3033699999999975,6.003124352626644,8820.458696124668
0.9,15000.0,EO/IR Sensor 3,290.046941908979,32.25,4.3033699999999975,27.870911999999997,10000.0
0.9,20000.0,EO/IR Sensor 1,284.43370706428976,24.05,6.3033699999999975,2.5763692858822385,8988.600603278977
0.9,20000.0,EO/IR Sensor 2,284.43370706428976,25.0,6.3033699999999975,10.672221071336253,10000.0
0.9,20000.0,EO/IR Sensor 3,284.43370706428976,34.0,6.3033699999999975,49.54828799999998,10000.0
0.9,25000.0,EO/IR Sensor 1,278.70744324096864,26.3,8.803369999999997,4.025577009190998,10000.0
0.9,25000.0,EO/IR Sensor 2,278.70744324096864,27.25,8.803369999999997,16.675345423962895,10000.0
